1825-1855|Правление Николая I
1826|Образование III Отделения Императорской канцелярии
1826|«Чугунный» Устав о цензуре
1826-1828|Русско-Иранская война (Туркманчайский мир)
1828-1829|Русско-Турецкая война (Адрианопольский мир)
1830-1831|Польское восстание
1833|Создание «Теории официальной народности» (С.С. Уваров)
1833|Ункяр-Искелесийский договор
1835|Кодификация законодательства (Свод законов Российской империи)
1837|Открытие первой в России железной дороги
1837-1841|Реформа управления государственными крестьянами П.Д. Киселева
1839-1843|Финансовая реформа Е.Ф. Канкрина
1842|Указ об «обязанных крестьянах»
1845-1849|Деятельность в Петербурге кружка М.В. Петрашевского.
1848-1855|«Мрачное семилетие»
1849|Венгерский поход русской армии
1851|Открытие железной дороги Петербург - Москва
1853-1856|Крымская война (Парижский трактат)
1853|Синопское сражение
Сент 1854 – Сент 1855|Оборона Севастополя
Восточный вопрос|Обозначение международных противоречий, связанных с распадом Османской империи, национально-освободительным движением и борьбой европейских держав за раздел ее владений
Жандармерия|Полиция, имеющая военную организацию и выполняющая охранные задачи внутри страны и армии
Западники|Представители одного из направлений общественной мысли в 1840-50-х, выступавшие за отмену крепостного права и признание необходимости развития России по западноевропейскому пути.
Славянофилы|Представители одного из направлений общественной мысли в 1840-50-х, выступали за самобытный путь России, отличный от европейского, отрицательно оценивали роль Петра I в истории страны.
Теория официальной народности|Государственная идеология Российской империи в период царствования Николая I, которая нашла выражение в формуле «Православие, Самодержавие, Народность».
Нейтрализация Чёрного моря|Наиболее важное из ограничений Парижского договора, по которому запрещалось в мирное время держать на Чёрном море военные флоты, арсеналы и крепости.
Обязанные крестьяне|Бывшие крепостные крестьяне, перешедшие на договорные отношения с помещиками на основании указа 1842, получившие личную свободу и земельный надел в пользование (за барщину и оброк).
Промышленный переворот|Переход хозяйства страны от преобладания мануфактуры к преобладанию машинного (фабрично-заводского) производства.
Отходники|Крестьяне, уходившие на заработки в город.
Охранка|Неофициальное название тайной полиции, ведавшей политическими делами
Чаадаев|Философ и публицист, чей единственный опубликованный при жизни труд – «Философические письма» – послужил катализатором идейного раскола западников и славянофилов.
Бенкендорф|Один из главных приближённых Николая I, шеф Отдельного корпуса жандармов и главный начальник III отделения Собственной Его Императорского Величества канцелярии.
Уваров|Министр народного просвещения (1833—1849), создатель идеологии официальной народности.
Паскевич|Командующий русскими войсками в ряде крупных кампаний николаевской эпохи: Русско-персидской войне (1826-1828), Русско-турецкой войне (1828-1829), подавлении Польского восстания (1831).
Киселев|Последовательный сторонник отмены крепостного права. Первый министр государственных имуществ Российской империи, реформировавший быт государственных крестьян (1837-1841).
Канкрин|Министр финансов (1823-1844), провёл денежную реформу, установившую систему серебряного монометаллизма. Его последователями считали себя И.А. Вышнеградский и С. Ю. Витте.
Сперанский|Глава 2-го отделения Собственной Его Императорского Величества канцелярии, под руководством которого к 1830 г. было составлено «Полное собрание законов Российской империи» в 45 томах.
Нахимов|Русский флотоводец, адмирал, герой Наваринского сражения, Синопского сражения, руководитель обороны Севастополя в Крымскую войну.
Корнилов|Вице-адмирал, герой Кавказской войны (1817-1864), организатор обороны Севастополя в Крымскую войну (погиб на Малаховом кургане).
Тотлебен|Выдающийся русский военный инженер, инженер-генерал. Руководил инженерными работами при обороне Севастополя в Крымскую войну и при осаде Плевны в русско-турецкую войну 1877-1878.
