1855-1881|Царствование императора Александра II
1857|Ликвидация военных поселений
1859|Создание Редакционных комиссий по крестьянской реформе
1860|Пекинский трактат России и Китая. Закрепление за Россией Уссурийского края
1861|Манифест об освобождении крестьян от крепостной зависимости
1864|Земская реформа
1864|Судебная реформа
1866|Покушение на императора Александра II («Каракозовский выстрел»)
1867|Договор о продаже Россией Аляски и Алеутских островов США
1870|Городская реформа
1870-1888|Экспедиции Н.М. Пржевальского в Центральную Азию, Китай, Монголию и Тибет.
1871|Лондонская конвенция об отмене ограничении прав России и Турции на Черном море
1874|Введение всеобщей воинской повинности
1874|«Хождение в народ»
1876|Присоединение Кокандского ханства к Российской империи
1877-1878|Русско-Турецкая война (Сан-Стефанский мирный договор)
1878|Процесс по делу В.И. Засулич, вынесение оправдательного приговора.
1879|Раскол "Земли и воли" на "Народную волю" и "Черный передел".
1880|Взрыв в Зимнем дворце (покушение на императора Александра II, подготовленное С. Н. Халтуриным).
1880|Учреждение Верховной распорядительной комиссии во главе с М.Т. Лорис-Меликовым
Временнообязанные крестьяне|категория бывших помещичьих крестьян, освобождённых от крепостной зависимости положениями 19 февр. 1861 г., но не переведённых на выкуп
Земства|выборные органы местного самоуправления, введенные реформой 1864 г. и ведавшие просвещением, здравоохранением, местным самоуправлением.
Народничество|идеология и движение русской интеллигенции во 2-й пол. XIX в., которое выражало интересы крестьян (идеализация общины, неприятие капитализма, критика крепостничества и самодержавия)
Отработки|система крестьянского труда на помещичьей земле после отмены крепостного права, с инвентарём крестьян за арендованную землю (в основном за отрезки), а также за ссуды хлебом или деньгами
Отрезки|земли, насильно изъятые из крестьянских наделов в пользу помещиков во время проведения крестьянской реформы 1861 года
Чересполосица|расположение земельных участков одного хозяйства полосами вперемежку с чужими участками
Уставные грамоты|документ, который устанавливал размер надела и повинности за пользование им временнообязанных крестьян по «Положениям» 19 февраля 1861 года
Выкупная сделка|государственная кредитная операция, проведённая правительством Российской империи в связи с отменой крепостного права
Редакционные комиссии|государственное учреждение, образованное в марте 1859 года для составления проекта Крестьянской реформы в России
Мировые посредники|чиновничья должность с 1859 года в Российской империи для улаживания поземельных отношений между помещиками и крестьянами и надзора за крестьянскими учреждениями; назначались губернаторами
А.М. Горчаков|Один из крупнейших дипломатов XIX в., министр иностранных дел (1856-1888), добился отмены кабальных условий Парижского мира.
Н.А. Милютин|Один из главных разработчиков Крестьянской реформы 1861 г., Земской реформы 1864 г. Фактически руководил работой Редакционных комиссий.
Д.А. Милютин|Военный министр (1861-1881), основной разработчик и проводник военной реформы 1860-х – 1870-х гг., важнейшим звеном которой стало введение всеобщей воинской повинности.
С.И. Зарудный|Учёный-юрист, один из авторов судебной реформы 1864 г. Изучив судебную систему европейских стран, разработал «Соображения и основные положения о гражданском и уголовном судопроизводстве».
М.Д. Скобелев|Участник Среднеазиатских походов и Русско-турецкой войны 1877-1878, освободитель Болгарии. В историю вошёл с прозвищем «Белый генерал».
М.Т. Лорис-Меликов|Министр внутренних дел с расширенными полномочиями (в последние месяцы царствования Александра II). Его внутриполитический курс был назван в печати «диктатурой сердца». 
М.А. Бакунин|Русский мыслитель и революционер, теоретик анархизма. Считается основоположником бунтарского направления в народничестве. 
П.Л. Лавров|Мыслитель и поэт, автор «Рабочей марсельезы», основатель пропагандистского направления в народничестве, идеолог «хождения в народ», начавшегося в 1874.
П.Н. Ткачев|Литературный критик и публицист, идеолог заговорщического (якобинского) течения в народничестве. 
Д.А. Толстой|Обер-прокурор Святейшего синода (1865-1880), министр просвещения (1866-1880). При Александре II был известен как энергичный реформатор, а при Александре III - как сторонник контрреформ.

